#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=1 (feed_offset=400) [Real Part]"
#-----------------------------------------------------------------------
-61.000000000000	-25.188717798612
-60.000000000000	-20.105952462226
-59.000000000000	-18.183751723562
-58.000000000000	-18.449148324324
-57.000000000000	-21.113308016749
-56.000000000000	-27.718469334402
-55.000000000000	-26.843733148778
-54.000000000000	-20.707755763795
-53.000000000000	-18.485217838906
-52.000000000000	-18.944909456602
-51.000000000000	-22.553525711423
-50.000000000000	-34.602764717377
-49.000000000000	-28.090379060657
-48.000000000000	-23.640334585482
-47.000000000000	-25.753380144758
-46.000000000000	-29.396411252734
-45.000000000000	-20.286489920169
-44.000000000000	-16.355087634694
-43.000000000000	-15.902950943801
-42.000000000000	-18.154159435083
-41.000000000000	-18.084666750913
-40.000000000000	-13.766721743201
-39.000000000000	-11.261529621916
-38.000000000000	-10.808113670802
-37.000000000000	-11.911369678439
-36.000000000000	-12.985874317103
-35.000000000000	-10.787039513788
-34.000000000000	-7.5755359160733
-33.000000000000	-5.8219907460599
-32.000000000000	-5.7953602731270
-31.000000000000	-6.8018435172625
-30.000000000000	-6.6517610218453
-29.000000000000	-5.0237067303712
-28.000000000000	-3.8665717888106
-27.000000000000	-3.7050886885588
-26.000000000000	-4.2385140965295
-25.000000000000	-4.1195576606301
-24.000000000000	-2.2996296088014
-23.000000000000	-0.69808529611673
-22.000000000000	-0.63442148095025
-21.000000000000	-2.0510958605857
-20.000000000000	-3.4589743376910
-19.000000000000	-2.2508431382922
-18.000000000000	0.30425009359099
-17.000000000000	1.6791757760258
-16.000000000000	1.0085778731097
-15.000000000000	-1.3001848717586
-14.000000000000	-1.9589268508226
-13.000000000000	0.21891189264031
-12.000000000000	2.5174242477277
-11.000000000000	3.1697514737807
-10.000000000000	0.43069170119245
-9.0000000000000	-7.0657551063481
-8.0000000000000	-7.5433525788019
-7.0000000000000	-13.503726746552
-6.0000000000000	5.2891608617005
-5.0000000000000	13.511295723698
-4.0000000000000	20.428009305589
-3.0000000000000	26.150292808931
-2.0000000000000	30.193979805371
-1.0000000000000	32.556447832444
0.0000000000000	33.330884553883
1.0000000000000	32.556447832444
2.0000000000000	30.193979805371
3.0000000000000	26.150292808931
4.0000000000000	20.428009305589
5.0000000000000	13.511295723698
6.0000000000000	5.2891608617005
7.0000000000000	-13.503726746551
8.0000000000000	-7.5433525788019
9.0000000000000	-7.0657551063482
10.000000000000	0.43069170119218
11.000000000000	3.1697514737807
12.000000000000	2.5174242477278
13.000000000000	0.21891189264038
14.000000000000	-1.9589268508226
15.000000000000	-1.3001848717586
16.000000000000	1.0085778731096
17.000000000000	1.6791757760258
18.000000000000	0.30425009359102
19.000000000000	-2.2508431382920
20.000000000000	-3.4589743376910
21.000000000000	-2.0510958605858
22.000000000000	-0.63442148095026
23.000000000000	-0.69808529611667
24.000000000000	-2.2996296088014
25.000000000000	-4.1195576606301
26.000000000000	-4.2385140965295
27.000000000000	-3.7050886885588
28.000000000000	-3.8665717888106
29.000000000000	-5.0237067303712
30.000000000000	-6.6517610218452
31.000000000000	-6.8018435172626
32.000000000000	-5.7953602731270
33.000000000000	-5.8219907460599
34.000000000000	-7.5755359160732
35.000000000000	-10.787039513788
36.000000000000	-12.985874317103
37.000000000000	-11.911369678439
38.000000000000	-10.808113670802
39.000000000000	-11.261529621915
40.000000000000	-13.766721743201
41.000000000000	-18.084666750913
42.000000000000	-18.154159435083
43.000000000000	-15.902950943801
44.000000000000	-16.355087634694
45.000000000000	-20.286489920169
46.000000000000	-29.396411252733
47.000000000000	-25.753380144758
48.000000000000	-23.640334585482
49.000000000000	-28.090379060657
50.000000000000	-34.602764717377
51.000000000000	-22.553525711423
52.000000000000	-18.944909456602
53.000000000000	-18.485217838906
54.000000000000	-20.707755763795
55.000000000000	-26.843733148778
56.000000000000	-27.718469334402
57.000000000000	-21.113308016749
58.000000000000	-18.449148324324
59.000000000000	-18.183751723562
60.000000000000	-20.105952462226
61.000000000000	-25.188717798612
62.000000000000	-30.676160011497
63.000000000000	-23.244978239069
64.000000000000	-19.626357998066
65.000000000000	-18.549126856735
66.000000000000	-19.379495739580
67.000000000000	-22.405951677500
68.000000000000	-29.749087175444
69.000000000000	-32.069407257703
70.000000000000	-23.750710000072
71.000000000000	-20.461944698166
72.000000000000	-19.281720356215
73.000000000000	-19.509615826084
74.000000000000	-21.033246128505
75.000000000000	-24.203280789738
76.000000000000	-30.664937308311
77.000000000000	-37.367670353625
78.000000000000	-26.939435815979
79.000000000000	-22.204196283614
80.000000000000	-19.415382095826
81.000000000000	-17.630545660249
82.000000000000	-16.538010119081
83.000000000000	-16.027427402863
84.000000000000	-16.074144874310
85.000000000000	-16.694611057365
86.000000000000	-17.896794423795
87.000000000000	-19.491436542162
88.000000000000	-20.506825817599
89.000000000000	-19.469906843405
90.000000000000	-17.087945056843
91.000000000000	-14.751318203924
92.000000000000	-12.861334014087
93.000000000000	-11.414167084078
94.000000000000	-10.337857019876
95.000000000000	-9.5653559417454
96.000000000000	-9.0447876735641
97.000000000000	-8.7379641430902
98.000000000000	-8.6167234431468
99.000000000000	-8.6593145515447
100.00000000000	-8.8466261154479
101.00000000000	-9.1591327118438
102.00000000000	-9.5756635600778
103.00000000000	-10.074005655174
104.00000000000	-10.633401361536
105.00000000000	-11.237584414644
106.00000000000	-11.875473151644
107.00000000000	-12.538229005904
108.00000000000	-13.214981131185
109.00000000000	-13.891069453495
110.00000000000	-14.553777145239
111.00000000000	-15.202916076170
112.00000000000	-15.858015879298
113.00000000000	-16.550597788068
114.00000000000	-17.300214507868
115.00000000000	-18.085858150703
116.00000000000	-18.828949886925
117.00000000000	-19.420446552980
