#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=2 (feed_offset=400) [Real Part]"
#-----------------------------------------------------------------------
-180.00000000000	-6.9183739528514
-179.00000000000	-12.992660388681
-178.00000000000	-24.290230905241
-177.00000000000	-16.271857497938
-176.00000000000	-18.483883997132
-175.00000000000	-23.906434739743
-174.00000000000	-19.758201173439
-173.00000000000	-17.852510635749
-172.00000000000	-18.356473409698
-171.00000000000	-17.204780424309
-170.00000000000	-18.186818833620
-169.00000000000	-21.903224090906
-168.00000000000	-22.924638908109
-167.00000000000	-18.441676231305
-166.00000000000	-19.403526644527
-165.00000000000	-21.128534694293
-164.00000000000	-17.802412996057
-163.00000000000	-19.167453638868
-162.00000000000	-22.216397743765
-161.00000000000	-20.163246260951
-160.00000000000	-22.176504352298
-159.00000000000	-24.734118977192
-158.00000000000	-26.072164747624
-157.00000000000	-24.160857226325
-156.00000000000	-20.061328859637
-155.00000000000	-22.059029280373
-154.00000000000	-22.463887470930
-153.00000000000	-21.324794258860
-152.00000000000	-24.155738437349
-151.00000000000	-32.980161155889
-150.00000000000	-33.991933270579
-149.00000000000	-24.772553454819
-148.00000000000	-21.638607174075
-147.00000000000	-25.891555851833
-146.00000000000	-31.246541390246
-145.00000000000	-28.717974222127
-144.00000000000	-29.697098353983
-143.00000000000	-29.409205324481
-142.00000000000	-25.893179893003
-141.00000000000	-28.786249202171
-140.00000000000	-28.418285385538
-139.00000000000	-23.918948268591
-138.00000000000	-28.157943516927
-137.00000000000	-27.826505422107
-136.00000000000	-27.079391159898
-135.00000000000	-29.779296211285
-134.00000000000	-27.586121832789
-133.00000000000	-28.872784084421
-132.00000000000	-28.987231702621
-131.00000000000	-24.924438837308
-130.00000000000	-25.711629271555
-129.00000000000	-26.832645268653
-128.00000000000	-27.105770358872
-127.00000000000	-26.191451821247
-126.00000000000	-26.116145840723
-125.00000000000	-25.645967650370
-124.00000000000	-24.400264956064
-123.00000000000	-25.052104547026
-122.00000000000	-24.024174773135
-121.00000000000	-21.409263297289
-120.00000000000	-21.073321610378
-119.00000000000	-22.396427802206
-118.00000000000	-21.515737443320
-117.00000000000	-19.624884816624
-116.00000000000	-19.123099380940
-115.00000000000	-19.053648261150
-114.00000000000	-18.325564735073
-113.00000000000	-17.442346261491
-112.00000000000	-16.586851368105
-111.00000000000	-15.636879310620
-110.00000000000	-14.892668662769
-109.00000000000	-14.273723302711
-108.00000000000	-13.317355741882
-107.00000000000	-12.232035862424
-106.00000000000	-11.516759447742
-105.00000000000	-11.093296192079
-104.00000000000	-10.575387893044
-103.00000000000	-10.013654492197
-102.00000000000	-9.8056954317725
-101.00000000000	-10.092907312266
-100.00000000000	-10.654837739318
-99.000000000000	-11.289081039920
-98.000000000000	-12.223618430478
-97.000000000000	-13.902880663726
-96.000000000000	-16.466546170370
-95.000000000000	-19.073204903041
-94.000000000000	-19.738627712987
-93.000000000000	-18.451815727841
-92.000000000000	-16.748771395732
-91.000000000000	-15.518678343896
-90.000000000000	-15.237296950412
-89.000000000000	-16.201225441678
-88.000000000000	-18.670008867184
-87.000000000000	-22.417826180820
-86.000000000000	-22.992917232841
-85.000000000000	-19.741789431435
-84.000000000000	-17.720870946083
-83.000000000000	-17.626509488705
-82.000000000000	-19.765118058037
-81.000000000000	-24.938276394505
-80.000000000000	-27.082163033012
-79.000000000000	-22.324500116284
-78.000000000000	-20.750908725454
-77.000000000000	-22.244144780748
-76.000000000000	-28.256621161340
-75.000000000000	-33.486616072950
-74.000000000000	-24.283908790646
-73.000000000000	-22.255378374376
-72.000000000000	-24.985098344723
-71.000000000000	-33.289134451373
-70.000000000000	-24.796791893818
-69.000000000000	-22.505648575048
-68.000000000000	-26.797997502740
-67.000000000000	-29.428143445931
-66.000000000000	-22.727603079860
-65.000000000000	-23.601166115259
-64.000000000000	-30.695665065142
-63.000000000000	-24.362428107383
-62.000000000000	-23.359266866959
-61.000000000000	-30.004767198922
-60.000000000000	-24.286473588665
-59.000000000000	-20.758893935135
-58.000000000000	-23.333419873258
-57.000000000000	-28.729425592386
-56.000000000000	-20.537762755029
-55.000000000000	-19.451428307002
-54.000000000000	-21.231335921791
-53.000000000000	-16.004024012139
-52.000000000000	-14.907487685626
-51.000000000000	-19.159507251007
-50.000000000000	-17.997616283607
-49.000000000000	-16.270049733773
-48.000000000000	-18.322761584592
-47.000000000000	-14.827257206082
-46.000000000000	-13.339648137392
-45.000000000000	-17.800138987969
-44.000000000000	-18.293890920918
-43.000000000000	-18.796652750541
