#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=2.5 (feed_offset=400) [Real Part]"
#-------------------------------------------------------------------------
-180.00000000000	-7.2913763667971
-179.00000000000	-11.620864894628
-178.00000000000	-19.206672355759
-177.00000000000	-21.024375575912
-176.00000000000	-16.666779562884
-175.00000000000	-21.699990446682
-174.00000000000	-28.113324675046
-173.00000000000	-24.815560809530
-172.00000000000	-24.741003789291
-171.00000000000	-18.892095355803
-170.00000000000	-21.893371832102
-169.00000000000	-24.639836975218
-168.00000000000	-25.099138380703
-167.00000000000	-28.307338913211
-166.00000000000	-24.363459757337
-165.00000000000	-25.474968002831
-164.00000000000	-25.513989757482
-163.00000000000	-25.548341945874
-162.00000000000	-32.158336143259
-161.00000000000	-30.557825720035
-160.00000000000	-29.339439356313
-159.00000000000	-29.257164823522
-158.00000000000	-26.803290374838
-157.00000000000	-27.459538230281
-156.00000000000	-30.279108020448
-155.00000000000	-29.341143594842
-154.00000000000	-27.695457611864
-153.00000000000	-30.098697374303
-152.00000000000	-30.237144070093
-151.00000000000	-24.823975072534
-150.00000000000	-25.415886958818
-149.00000000000	-24.847957319597
-148.00000000000	-27.615162710514
-147.00000000000	-37.378428627694
-146.00000000000	-36.012584951164
-145.00000000000	-34.584676451427
-144.00000000000	-28.914065208910
-143.00000000000	-30.868620877085
-142.00000000000	-32.897636302285
-141.00000000000	-29.359863956081
-140.00000000000	-31.243891965829
-139.00000000000	-27.873485939723
-138.00000000000	-28.659305454842
-137.00000000000	-34.547634207658
-136.00000000000	-31.268231514617
-135.00000000000	-31.535973166653
-134.00000000000	-32.600840961697
-133.00000000000	-38.703536780423
-132.00000000000	-31.065092606525
-131.00000000000	-31.470640965029
-130.00000000000	-29.931179369409
-129.00000000000	-31.481211734115
-128.00000000000	-30.257374442778
-127.00000000000	-31.458788652455
-126.00000000000	-31.026447574986
-125.00000000000	-31.070553666723
-124.00000000000	-29.729305216692
-123.00000000000	-28.391439299736
-122.00000000000	-33.375312915765
-121.00000000000	-29.388310051526
-120.00000000000	-25.779411154131
-119.00000000000	-27.369742351369
-118.00000000000	-29.630106472691
-117.00000000000	-24.557657056991
-116.00000000000	-25.111166835868
-115.00000000000	-29.418709015763
-114.00000000000	-24.576155262616
-113.00000000000	-24.185661478913
-112.00000000000	-27.004987653354
-111.00000000000	-24.514057143640
-110.00000000000	-23.168643093183
-109.00000000000	-23.961797825579
-108.00000000000	-22.527512758559
-107.00000000000	-20.753276086902
-106.00000000000	-20.367157189448
-105.00000000000	-19.571240225261
-104.00000000000	-18.708785637459
-103.00000000000	-18.945453104622
-102.00000000000	-19.191280905260
-101.00000000000	-18.804144341185
-100.00000000000	-19.582546032571
-99.000000000000	-22.434370211150
-98.000000000000	-24.234103066151
-97.000000000000	-24.565153616486
-96.000000000000	-29.002001339425
-95.000000000000	-30.038746336077
-94.000000000000	-25.606825466359
-93.000000000000	-24.452999401822
-92.000000000000	-24.389122331724
-91.000000000000	-25.418121314203
-90.000000000000	-28.326725700615
-89.000000000000	-33.879887731317
-88.000000000000	-29.631659471472
-87.000000000000	-26.159108911148
-86.000000000000	-25.574777777314
-85.000000000000	-25.627489106530
-84.000000000000	-28.422338346483
-83.000000000000	-34.618651188592
-82.000000000000	-28.214519488483
-81.000000000000	-26.046926297479
-80.000000000000	-27.662400114034
-79.000000000000	-32.277595659212
-78.000000000000	-27.545159687621
-77.000000000000	-23.782423135944
-76.000000000000	-23.932332810442
-75.000000000000	-25.531817713220
-74.000000000000	-23.581701901126
-73.000000000000	-21.351509630245
-72.000000000000	-22.083762103959
-71.000000000000	-24.959698515043
-70.000000000000	-22.552538091866
-69.000000000000	-20.868943996983
-68.000000000000	-22.430549912279
-67.000000000000	-21.857711347164
-66.000000000000	-19.968930755874
-65.000000000000	-20.727509953923
-64.000000000000	-20.982352813168
-63.000000000000	-19.823909887236
-62.000000000000	-20.176511457095
-61.000000000000	-19.476076959470
-60.000000000000	-18.951912416828
-59.000000000000	-19.610047189597
-58.000000000000	-19.207811220042
-57.000000000000	-20.485303106336
-56.000000000000	-20.359664302422
-55.000000000000	-18.623133492886
-54.000000000000	-20.381625849904
-53.000000000000	-21.430626273055
-52.000000000000	-20.557563166145
-51.000000000000	-21.122832545241
-50.000000000000	-22.191641697590
-49.000000000000	-25.887684105714
-48.000000000000	-24.806256211767
-47.000000000000	-28.065385187531
-46.000000000000	-28.281646181534
-45.000000000000	-25.381330030231
-44.000000000000	-18.852160193955
-43.000000000000	-20.296852937427
-42.000000000000	-16.924591330342
-41.000000000000	-17.837527606933
-40.000000000000	-17.351564924550
-39.000000000000	-15.962513910223
-38.000000000000	-16.502734326700
-37.000000000000	-15.187891835642
-36.000000000000	-15.630249330002
-35.000000000000	-14.734820337336
-34.000000000000	-20.295055852240
-33.000000000000	-20.464011723847
-32.000000000000	-17.036341476507
-31.000000000000	-12.951035953812
-30.000000000000	-12.295361931017
-29.000000000000	-12.968618792558
-28.000000000000	-12.507382867384
-27.000000000000	-15.632678823204
-26.000000000000	-18.059549636517
-25.000000000000	-22.089452238377
-24.000000000000	-18.341193801237
-23.000000000000	-16.024636708751
-22.000000000000	-17.345539771783
-21.000000000000	-18.221834222017
-20.000000000000	-22.337757443342
-19.000000000000	-16.228671347263
-18.000000000000	-10.154033903155
-17.000000000000	-9.3263134487942
-16.000000000000	-4.6480303519292
-15.000000000000	-4.4406607825151
-14.000000000000	-1.8377149165269
-13.000000000000	-0.87817102653828
-12.000000000000	1.1795401537690
-11.000000000000	1.5319995109370
-10.000000000000	3.8207460045979
-9.0000000000000	3.8393137690450
-8.0000000000000	5.2683472939615
-7.0000000000000	7.4693743126385
-6.0000000000000	8.8837513162881
-5.0000000000000	10.603162011807
-4.0000000000000	2.2140116639351
-3.0000000000000	6.7194826846411
-2.0000000000000	22.408248487884
-1.0000000000000	34.543018873100
0.0000000000000	37.903401719416
1.0000000000000	34.543018873101
2.0000000000000	22.408248487884
3.0000000000000	6.7194826846409
4.0000000000000	2.2140116639352
5.0000000000000	10.603162011807
6.0000000000000	8.8837513162881
7.0000000000000	7.4693743126385
8.0000000000000	5.2683472939616
9.0000000000000	3.8393137690450
10.000000000000	3.8207460045980
11.000000000000	1.5319995109370
12.000000000000	1.1795401537690
13.000000000000	-0.87817102653825
14.000000000000	-1.8377149165269
15.000000000000	-4.4406607825151
16.000000000000	-4.6480303519292
17.000000000000	-9.3263134487944
18.000000000000	-10.154033903155
19.000000000000	-16.228671347263
20.000000000000	-22.337757443342
21.000000000000	-18.221834222017
22.000000000000	-17.345539771783
23.000000000000	-16.024636708751
24.000000000000	-18.341193801237
25.000000000000	-22.089452238378
26.000000000000	-18.059549636517
27.000000000000	-15.632678823204
28.000000000000	-12.507382867384
29.000000000000	-12.968618792558
30.000000000000	-12.295361931017
31.000000000000	-12.951035953811
32.000000000000	-17.036341476507
33.000000000000	-20.464011723847
34.000000000000	-20.295055852241
35.000000000000	-14.734820337336
36.000000000000	-15.630249330002
37.000000000000	-15.187891835642
38.000000000000	-16.502734326700
39.000000000000	-15.962513910223
40.000000000000	-17.351564924550
41.000000000000	-17.837527606933
42.000000000000	-16.924591330342
43.000000000000	-20.296852937427
44.000000000000	-18.852160193955
45.000000000000	-25.381330030231
46.000000000000	-28.281646181534
47.000000000000	-28.065385187531
48.000000000000	-24.806256211767
49.000000000000	-25.887684105714
50.000000000000	-22.191641697590
51.000000000000	-21.122832545241
52.000000000000	-20.557563166145
53.000000000000	-21.430626273055
54.000000000000	-20.381625849904
55.000000000000	-18.623133492886
56.000000000000	-20.359664302422
57.000000000000	-20.485303106336
58.000000000000	-19.207811220042
59.000000000000	-19.610047189597
60.000000000000	-18.951912416828
61.000000000000	-19.476076959470
62.000000000000	-20.176511457095
63.000000000000	-19.823909887236
64.000000000000	-20.982352813168
65.000000000000	-20.727509953923
66.000000000000	-19.968930755874
67.000000000000	-21.857711347164
68.000000000000	-22.430549912279
69.000000000000	-20.868943996983
70.000000000000	-22.552538091866
71.000000000000	-24.959698515043
72.000000000000	-22.083762103959
73.000000000000	-21.351509630245
74.000000000000	-23.581701901126
75.000000000000	-25.531817713220
76.000000000000	-23.932332810442
77.000000000000	-23.782423135944
78.000000000000	-27.545159687621
79.000000000000	-32.277595659212
80.000000000000	-27.662400114035
81.000000000000	-26.046926297479
82.000000000000	-28.214519488483
