#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=1.5 (feed_offset=400) [Real Part]"
#-------------------------------------------------------------------------
-49.000000000000	-17.096005778721
-48.000000000000	-19.422591343319
-47.000000000000	-16.229309913974
-46.000000000000	-13.363742625366
-45.000000000000	-13.844864870164
-44.000000000000	-15.875540852315
-43.000000000000	-14.280430834911
-42.000000000000	-12.210894627888
-41.000000000000	-12.841132539916
-40.000000000000	-14.390452261204
-39.000000000000	-12.337272267091
-38.000000000000	-11.704160976351
-37.000000000000	-14.454522240801
-36.000000000000	-17.199922495600
-35.000000000000	-14.404520548274
-34.000000000000	-13.343748318046
-33.000000000000	-16.681196710577
-32.000000000000	-19.412100015586
-31.000000000000	-16.860684994923
-30.000000000000	-14.098260701627
-29.000000000000	-14.023027510359
-28.000000000000	-15.414522867226
-27.000000000000	-11.705219572732
-26.000000000000	-9.1543163688896
-25.000000000000	-8.6317455372287
-24.000000000000	-7.5891553358833
-23.000000000000	-4.8815775466725
-22.000000000000	-4.5209304544628
-21.000000000000	-5.2813956154916
-20.000000000000	-3.1333387305262
-19.000000000000	-0.66903114036950
-18.000000000000	-1.1954313881488
-17.000000000000	-2.1748173506294
-16.000000000000	0.27149023175524
-15.000000000000	1.9925621253024
-14.000000000000	0.82451543836258
-13.000000000000	0.54091794779894
-12.000000000000	2.7640228893692
-11.000000000000	3.4631742618900
-10.000000000000	1.5287205767656
-9.0000000000000	2.2844515321810
-8.0000000000000	2.6710514171495
-7.0000000000000	-1.8756710417398
-6.0000000000000	4.0542305527900
-5.0000000000000	8.3801244235221
-4.0000000000000	3.6948755005187
-3.0000000000000	19.838383678423
-2.0000000000000	29.284400298328
-1.0000000000000	34.357746955890
0.0000000000000	35.977750166451
1.0000000000000	34.357746955890
2.0000000000000	29.284400298328
3.0000000000000	19.838383678423
4.0000000000000	3.6948755005186
5.0000000000000	8.3801244235221
6.0000000000000	4.0542305527900
7.0000000000000	-1.8756710417401
8.0000000000000	2.6710514171495
9.0000000000000	2.2844515321810
10.000000000000	1.5287205767655
11.000000000000	3.4631742618900
12.000000000000	2.7640228893692
13.000000000000	0.54091794779899
14.000000000000	0.82451543836256
15.000000000000	1.9925621253024
16.000000000000	0.27149023175534
17.000000000000	-2.1748173506294
18.000000000000	-1.1954313881488
19.000000000000	-0.66903114036944
20.000000000000	-3.1333387305262
21.000000000000	-5.2813956154916
22.000000000000	-4.5209304544628
23.000000000000	-4.8815775466724
24.000000000000	-7.5891553358833
25.000000000000	-8.6317455372287
26.000000000000	-9.1543163688897
27.000000000000	-11.705219572732
28.000000000000	-15.414522867226
29.000000000000	-14.023027510359
30.000000000000	-14.098260701627
31.000000000000	-16.860684994923
32.000000000000	-19.412100015586
33.000000000000	-16.681196710577
34.000000000000	-13.343748318046
35.000000000000	-14.404520548274
36.000000000000	-17.199922495600
37.000000000000	-14.454522240801
38.000000000000	-11.704160976351
39.000000000000	-12.337272267091
40.000000000000	-14.390452261204
41.000000000000	-12.841132539916
42.000000000000	-12.210894627888
43.000000000000	-14.280430834911
44.000000000000	-15.875540852315
45.000000000000	-13.844864870164
46.000000000000	-13.363742625366
47.000000000000	-16.229309913973
48.000000000000	-19.422591343319
49.000000000000	-17.096005778721
50.000000000000	-17.430582095506
51.000000000000	-22.183407830692
52.000000000000	-25.802492416437
53.000000000000	-23.242325950385
54.000000000000	-24.388292912316
55.000000000000	-26.668493283819
56.000000000000	-27.270311253646
57.000000000000	-30.174849920085
58.000000000000	-28.970491019554
59.000000000000	-24.366233635088
60.000000000000	-23.681188544659
61.000000000000	-27.393978175585
62.000000000000	-37.920191444817
63.000000000000	-29.345592511783
64.000000000000	-26.815999016444
65.000000000000	-28.816906340096
66.000000000000	-33.186029827349
67.000000000000	-33.432455530617
68.000000000000	-34.116146166536
69.000000000000	-32.111586470984
70.000000000000	-26.500043352990
71.000000000000	-23.957309126911
72.000000000000	-24.645300354108
73.000000000000	-30.036475117582
74.000000000000	-35.267737466449
75.000000000000	-25.304462426234
76.000000000000	-22.232012810442
77.000000000000	-22.420036325287
78.000000000000	-25.894474901283
79.000000000000	-36.735005005882
80.000000000000	-30.341837080831
81.000000000000	-24.952336601161
82.000000000000	-23.889637549744
83.000000000000	-25.678997513897
84.000000000000	-30.490853883211
85.000000000000	-29.933357609079
86.000000000000	-24.326209388429
87.000000000000	-21.355282885864
88.000000000000	-20.291707641020
89.000000000000	-20.822378563332
90.000000000000	-23.131947879438
91.000000000000	-27.853169270032
92.000000000000	-30.289832932986
93.000000000000	-24.896969983691
94.000000000000	-21.356452964831
95.000000000000	-19.328686909712
96.000000000000	-18.041459679346
97.000000000000	-17.050972631342
98.000000000000	-16.151692700649
99.000000000000	-15.328211253006
100.00000000000	-14.652862772889
101.00000000000	-14.166337461636
102.00000000000	-13.821156605304
103.00000000000	-13.532148499944
104.00000000000	-13.296016723653
105.00000000000	-13.224057965837
106.00000000000	-13.410507822391
107.00000000000	-13.787790134095
108.00000000000	-14.147536539672
109.00000000000	-14.410096160533
110.00000000000	-14.798469333915
111.00000000000	-15.556854049599
112.00000000000	-16.556691691274
113.00000000000	-17.245936621604
114.00000000000	-17.458164832071
115.00000000000	-17.865385832670
116.00000000000	-19.010739073975
117.00000000000	-20.537535167428
118.00000000000	-21.195229705508
119.00000000000	-21.110699374365
120.00000000000	-21.728777530475
121.00000000000	-23.304388489123
122.00000000000	-24.192901290768
123.00000000000	-23.715632106611
124.00000000000	-24.021934648777
125.00000000000	-26.128710861339
126.00000000000	-28.963179178710
127.00000000000	-28.960602442112
128.00000000000	-27.743415270399
129.00000000000	-27.974732027727
130.00000000000	-29.246586765218
131.00000000000	-27.523112452707
132.00000000000	-25.082409438575
133.00000000000	-25.312607045775
134.00000000000	-28.034144194289
135.00000000000	-30.358651770843
136.00000000000	-32.742742050397
137.00000000000	-35.605071204781
138.00000000000	-34.093164258977
139.00000000000	-34.011437626333
140.00000000000	-28.936529276200
141.00000000000	-26.453913619488
142.00000000000	-27.355631355351
143.00000000000	-30.214858994855
144.00000000000	-36.141868838118
145.00000000000	-38.542087091837
146.00000000000	-28.405509417219
147.00000000000	-25.218902208793
148.00000000000	-25.753738941107
149.00000000000	-28.069751024272
150.00000000000	-32.438912300189
151.00000000000	-32.473455912757
152.00000000000	-27.229934109312
153.00000000000	-24.490224705239
154.00000000000	-24.100113352983
155.00000000000	-27.239640610259
156.00000000000	-31.443740571808
157.00000000000	-27.124534976480
158.00000000000	-23.871911360221
159.00000000000	-24.517051358186
160.00000000000	-26.492738038473
161.00000000000	-28.324571589874
162.00000000000	-24.692550200887
163.00000000000	-21.673456512763
164.00000000000	-20.173975018253
165.00000000000	-22.291645991474
166.00000000000	-23.424725220869
167.00000000000	-20.474909611314
168.00000000000	-19.605681154929
169.00000000000	-22.743142975864
170.00000000000	-24.977685976829
171.00000000000	-19.865554595375
172.00000000000	-18.076827356604
173.00000000000	-20.824734421091
174.00000000000	-24.048957274973
175.00000000000	-19.025947991132
176.00000000000	-17.560292980884
177.00000000000	-18.002981881132
178.00000000000	-20.192605226629
179.00000000000	-13.828747648589
180.00000000000	-9.7212877682682
