#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=3 (feed_offset=400) [Real Part]"
#-----------------------------------------------------------------------
-180.00000000000	-14.208869598158
-179.00000000000	-10.727086269198
-178.00000000000	-11.341271497540
-177.00000000000	-25.173537714886
-176.00000000000	-14.447020836870
-175.00000000000	-18.090257259785
-174.00000000000	-17.461787849064
-173.00000000000	-21.392201104094
-172.00000000000	-20.737979157989
-171.00000000000	-24.463565710059
-170.00000000000	-22.726027596781
-169.00000000000	-24.402515596357
-168.00000000000	-21.899891438780
-167.00000000000	-21.388263618542
-166.00000000000	-21.268083039332
-165.00000000000	-22.844965294865
-164.00000000000	-26.261165276045
-163.00000000000	-29.879037436878
-162.00000000000	-29.102159041025
-161.00000000000	-26.508606908379
-160.00000000000	-24.083783252004
-159.00000000000	-24.543876844989
-158.00000000000	-24.703387795850
-157.00000000000	-30.054805712288
-156.00000000000	-29.067753469177
-155.00000000000	-29.302687582263
-154.00000000000	-29.231864978799
-153.00000000000	-29.550280742658
-152.00000000000	-36.347489615741
-151.00000000000	-32.367261681268
-150.00000000000	-31.601519302058
-149.00000000000	-33.239562941273
-148.00000000000	-37.553005896652
-147.00000000000	-34.619775305083
-146.00000000000	-33.394832499465
-145.00000000000	-33.493259799093
-144.00000000000	-34.709992620627
-143.00000000000	-28.674284371292
-142.00000000000	-33.346755446566
-141.00000000000	-36.467862863381
-140.00000000000	-34.698738274557
-139.00000000000	-36.594417106354
-138.00000000000	-33.923320368491
-137.00000000000	-34.105205740448
-136.00000000000	-32.299099893634
-135.00000000000	-29.970335051405
-134.00000000000	-30.507862680811
-133.00000000000	-38.454222162956
-132.00000000000	-37.595182103139
-131.00000000000	-32.987796049177
-130.00000000000	-31.132866478036
-129.00000000000	-31.477065042890
-128.00000000000	-32.324580673659
-127.00000000000	-33.772773664483
-126.00000000000	-34.143143813769
-125.00000000000	-33.012797998421
-124.00000000000	-34.850947381537
-123.00000000000	-30.536661169624
-122.00000000000	-29.436264279674
-121.00000000000	-30.649938962070
-120.00000000000	-27.995071838083
-119.00000000000	-27.138912415809
-118.00000000000	-29.374630459674
-117.00000000000	-25.576488740122
-116.00000000000	-28.334830756699
-115.00000000000	-27.445656208399
-114.00000000000	-25.602933016098
-113.00000000000	-28.794329582032
-112.00000000000	-24.565069415671
-111.00000000000	-24.016520533404
-110.00000000000	-25.454008138426
-109.00000000000	-29.068364640091
-108.00000000000	-25.525346924558
-107.00000000000	-20.936191860134
-106.00000000000	-20.694504341986
-105.00000000000	-18.748671606889
-104.00000000000	-16.791564298289
-103.00000000000	-18.075822558454
-102.00000000000	-18.232461448110
-101.00000000000	-19.273368070274
-100.00000000000	-22.108633719070
-99.000000000000	-20.983004285100
-98.000000000000	-21.237121011716
-97.000000000000	-22.164395847304
-96.000000000000	-18.969876944085
-95.000000000000	-18.303204110616
-94.000000000000	-17.870163552335
-93.000000000000	-18.181523281787
-92.000000000000	-20.172615543939
-91.000000000000	-20.396415379852
-90.000000000000	-20.010443893033
-89.000000000000	-20.494821656214
-88.000000000000	-19.670981891820
-87.000000000000	-20.298329332192
-86.000000000000	-20.504971991451
-85.000000000000	-19.159995178477
-84.000000000000	-19.423888138594
-83.000000000000	-20.307370292771
-82.000000000000	-20.751140020187
-81.000000000000	-19.687764368423
-80.000000000000	-18.885973187450
-79.000000000000	-19.631709660657
-78.000000000000	-19.368301994644
-77.000000000000	-17.918216866879
-76.000000000000	-18.060342873781
-75.000000000000	-18.713453282021
-74.000000000000	-18.268091554358
-73.000000000000	-17.490022178862
-72.000000000000	-17.636844123815
-71.000000000000	-18.402066030213
-70.000000000000	-19.248287208354
-69.000000000000	-17.886871463037
-68.000000000000	-17.317964002721
-67.000000000000	-18.652383807142
-66.000000000000	-17.761004061014
-65.000000000000	-16.881481298190
-64.000000000000	-17.386980993048
-63.000000000000	-17.998602263128
-62.000000000000	-16.656737313913
-61.000000000000	-16.800357290320
-60.000000000000	-21.186195635568
-59.000000000000	-20.415313142528
-58.000000000000	-18.465935795953
-57.000000000000	-22.748417801429
-56.000000000000	-29.480142135930
-55.000000000000	-25.557457867459
-54.000000000000	-24.872702011429
-53.000000000000	-23.829736307600
-52.000000000000	-29.872146365012
-51.000000000000	-22.249130553562
-50.000000000000	-21.164762102876
-49.000000000000	-25.052284354569
-48.000000000000	-24.773363558394
-47.000000000000	-19.655893868216
-46.000000000000	-16.454958932877
-45.000000000000	-16.741024726853
-44.000000000000	-19.146467055522
-43.000000000000	-14.737380936940
-42.000000000000	-15.180606850472
-41.000000000000	-19.438314990400
-40.000000000000	-23.280252056773
-39.000000000000	-23.063452156587
-38.000000000000	-20.771370207271
-37.000000000000	-21.912658394246
-36.000000000000	-21.201463507531
-35.000000000000	-17.886389082817
-34.000000000000	-18.115069823151
-33.000000000000	-16.730458807050
-32.000000000000	-19.131490432534
-31.000000000000	-17.663679251371
-30.000000000000	-19.134563497853
-29.000000000000	-15.106125673688
-28.000000000000	-13.409519870010
-27.000000000000	-12.811380675693
-26.000000000000	-15.872336657839
-25.000000000000	-17.350319145290
-24.000000000000	-22.764994575564
-23.000000000000	-26.685846854628
-22.000000000000	-16.474219550125
-21.000000000000	-13.706620936402
-20.000000000000	-10.131921294720
-19.000000000000	-13.055809299712
-18.000000000000	-16.022739594014
-17.000000000000	-26.189018360714
-16.000000000000	-16.454885589726
-15.000000000000	-9.0128469655061
-14.000000000000	-5.5338303982918
-13.000000000000	-3.5334795457297
-12.000000000000	-0.52589291929579
-11.000000000000	-0.025527057270562
-10.000000000000	2.7672669020543
-9.0000000000000	3.1856991513585
-8.0000000000000	6.2934168356680
-7.0000000000000	6.9521896440682
-6.0000000000000	10.826084386390
-5.0000000000000	4.2643326682947
-4.0000000000000	4.5610804626486
-3.0000000000000	15.962977627142
-2.0000000000000	14.481862189094
-1.0000000000000	34.857203433477
0.0000000000000	39.781384610284
1.0000000000000	34.857203433477
2.0000000000000	14.481862189093
3.0000000000000	15.962977627142
4.0000000000000	4.5610804626481
5.0000000000000	4.2643326682945
6.0000000000000	10.826084386390
7.0000000000000	6.9521896440684
8.0000000000000	6.2934168356680
9.0000000000000	3.1856991513585
10.000000000000	2.7672669020544
11.000000000000	-0.025527057270562
12.000000000000	-0.52589291929565
13.000000000000	-3.5334795457297
14.000000000000	-5.5338303982918
15.000000000000	-9.0128469655061
16.000000000000	-16.454885589725
17.000000000000	-26.189018360714
18.000000000000	-16.022739594014
19.000000000000	-13.055809299712
20.000000000000	-10.131921294720
21.000000000000	-13.706620936402
22.000000000000	-16.474219550125
23.000000000000	-26.685846854627
24.000000000000	-22.764994575564
25.000000000000	-17.350319145290
26.000000000000	-15.872336657839
27.000000000000	-12.811380675693
28.000000000000	-13.409519870010
29.000000000000	-15.106125673688
30.000000000000	-19.134563497853
31.000000000000	-17.663679251371
32.000000000000	-19.131490432534
33.000000000000	-16.730458807050
34.000000000000	-18.115069823151
35.000000000000	-17.886389082816
36.000000000000	-21.201463507531
37.000000000000	-21.912658394246
38.000000000000	-20.771370207271
39.000000000000	-23.063452156587
40.000000000000	-23.280252056772
41.000000000000	-19.438314990401
42.000000000000	-15.180606850472
43.000000000000	-14.737380936940
44.000000000000	-19.146467055522
45.000000000000	-16.741024726853
46.000000000000	-16.454958932876
47.000000000000	-19.655893868215
48.000000000000	-24.773363558394
49.000000000000	-25.052284354569
50.000000000000	-21.164762102876
51.000000000000	-22.249130553562
52.000000000000	-29.872146365012
53.000000000000	-23.829736307600
54.000000000000	-24.872702011429
55.000000000000	-25.557457867459
56.000000000000	-29.480142135930
57.000000000000	-22.748417801430
58.000000000000	-18.465935795953
59.000000000000	-20.415313142528
60.000000000000	-21.186195635568
61.000000000000	-16.800357290320
62.000000000000	-16.656737313913
63.000000000000	-17.998602263128
64.000000000000	-17.386980993048
65.000000000000	-16.881481298190
66.000000000000	-17.761004061014
67.000000000000	-18.652383807142
68.000000000000	-17.317964002721
69.000000000000	-17.886871463037
70.000000000000	-19.248287208354
71.000000000000	-18.402066030213
72.000000000000	-17.636844123815
73.000000000000	-17.490022178862
74.000000000000	-18.268091554358
75.000000000000	-18.713453282021
76.000000000000	-18.060342873781
77.000000000000	-17.918216866879
78.000000000000	-19.368301994644
79.000000000000	-19.631709660657
80.000000000000	-18.885973187450
81.000000000000	-19.687764368423
82.000000000000	-20.751140020187
83.000000000000	-20.307370292771
84.000000000000	-19.423888138594
85.000000000000	-19.159995178477
86.000000000000	-20.504971991451
87.000000000000	-20.298329332192
88.000000000000	-19.670981891820
89.000000000000	-20.494821656214
90.000000000000	-20.010443893033
91.000000000000	-20.396415379852
92.000000000000	-20.172615543939
93.000000000000	-18.181523281787
94.000000000000	-17.870163552335
95.000000000000	-18.303204110616
96.000000000000	-18.969876944085
97.000000000000	-22.164395847304
98.000000000000	-21.237121011716
99.000000000000	-20.983004285100
100.00000000000	-22.108633719070
101.00000000000	-19.273368070275
102.00000000000	-18.232461448110
103.00000000000	-18.075822558454
104.00000000000	-16.791564298289
105.00000000000	-18.748671606889
106.00000000000	-20.694504341986
107.00000000000	-20.936191860134
108.00000000000	-25.525346924558
109.00000000000	-29.068364640091
110.00000000000	-25.454008138427
111.00000000000	-24.016520533404
112.00000000000	-24.565069415671
113.00000000000	-28.794329582032
114.00000000000	-25.602933016098
115.00000000000	-27.445656208399
116.00000000000	-28.334830756699
117.00000000000	-25.576488740122
118.00000000000	-29.374630459674
119.00000000000	-27.138912415809
120.00000000000	-27.995071838083
121.00000000000	-30.649938962070
122.00000000000	-29.436264279674
123.00000000000	-30.536661169624
124.00000000000	-34.850947381537
125.00000000000	-33.012797998420
126.00000000000	-34.143143813769
127.00000000000	-33.772773664483
128.00000000000	-32.324580673658
129.00000000000	-31.477065042890
130.00000000000	-31.132866478036
131.00000000000	-32.987796049176
132.00000000000	-37.595182103139
133.00000000000	-38.454222162958
134.00000000000	-30.507862680810
135.00000000000	-29.970335051405
136.00000000000	-32.299099893634
137.00000000000	-34.105205740448
138.00000000000	-33.923320368490
139.00000000000	-36.594417106354
140.00000000000	-34.698738274557
141.00000000000	-36.467862863381
142.00000000000	-33.346755446568
143.00000000000	-28.674284371292
144.00000000000	-34.709992620627
145.00000000000	-33.493259799093
146.00000000000	-33.394832499465
147.00000000000	-34.619775305083
148.00000000000	-37.553005896652
149.00000000000	-33.239562941278
150.00000000000	-31.601519302058
151.00000000000	-32.367261681259
152.00000000000	-36.347489615741
153.00000000000	-29.550280742657
154.00000000000	-29.231864978799
155.00000000000	-29.302687582262
156.00000000000	-29.067753469177
157.00000000000	-30.054805712287
158.00000000000	-24.703387795850
159.00000000000	-24.543876844989
160.00000000000	-24.083783252006
161.00000000000	-26.508606908381
162.00000000000	-29.102159041025
163.00000000000	-29.879037436878
164.00000000000	-26.261165276051
165.00000000000	-22.844965294872
166.00000000000	-21.268083039337
167.00000000000	-21.388263618542
168.00000000000	-21.899891438775
169.00000000000	-24.402515596352
170.00000000000	-22.726027596781
171.00000000000	-24.463565710054
172.00000000000	-20.737979157989
173.00000000000	-21.392201104094
174.00000000000	-17.461787849067
175.00000000000	-18.090257259782
176.00000000000	-14.447020836867
177.00000000000	-25.173537714884
178.00000000000	-11.341271497540
179.00000000000	-10.727086269198
180.00000000000	-14.208869598158
